Crop Type,Soil Type,Temperature (°C),Humidity (%),Soil Moisture (%),Rainfall (mm),Water Requirement (L/sq.m)
Maize,Silt,26.65,65.9,54.64,76.22,0.0
Rice,Loamy,10.18,17.07,8.64,70.09,0.0
Sugarcane,Silt,12.08,87.13,36.31,79.1,0.0
Cotton,Silt,43.78,75.6,68.27,50.27,0.0
Barley,Silt,42.9,60.37,72.78,167.97,0.0
Tomato,Peat,11.62,30.75,3.68,228.69,0.0
Sugarcane,Silt,24.11,61.33,7.47,178.61,0.0
Tomato,Sandy,32.7,47.61,18.94,84.03,0.0
Tomato,Peat,16.73,88.91,17.98,111.33,0.0
Cotton,Peat,42.36,45.77,5.96,93.61,0.0
Cotton,Loamy,20.4,37.63,76.81,16.75,2.18
Maize,Clay,20.72,89.61,79.65,49.32,0.0
Tomato,Peat,20.59,48.1,87.48,63.52,0.0
Rice,Peat,25.74,48.37,29.18,174.98,0.0
Barley,Peat,34.31,84.09,85.59,260.86,0.0
Sugarcane,Sandy,40.3,59.42,38.11,89.67,0.0
Sugarcane,Silt,37.85,48.12,2.83,272.65,0.0
Tomato,Peat,42.74,22.67,31.25,61.68,5.09
Tomato,Loamy,25.77,15.66,48.02,143.32,0.0
Soybean,Sandy,31.3,64.97,9.73,223.38,0.0
Sugarcane,Silt,13.03,17.14,39.19,24.55,1.43
Wheat,Loamy,27.58,53.29,87.86,200.7,0.0
Cotton,Silt,30.41,47.29,53.48,235.13,0.0
Cotton,Clay,22.58,42.15,4.3,185.85,0.0
Soybean,Clay,37.67,57.41,49.01,82.42,0.0
Wheat,Clay,36.87,37.04,40.92,41.5,3.95
Rice,Clay,15.19,47.9,26.53,203.67,0.0
Cotton,Silt,23.6,11.16,28.7,4.64,5.55
Tomato,Loamy,36.31,33.91,67.24,195.93,0.0
Sugarcane,Peat,37.41,80.91,50.77,18.89,0.61
Tomato,Peat,29.89,56.12,73.28,157.96,0.0
Tomato,Clay,29.07,45.97,57.04,146.04,0.0
Cotton,Clay,18.79,24.77,37.86,63.47,0.0
Soybean,Loamy,31.98,89.86,61.91,35.15,0.0
Wheat,Loamy,12.11,53.78,90.2,105.06,0.0
Tomato,Silt,21.09,60.11,64.75,190.15,0.0
Soybean,Silt,22.53,16.69,47.92,99.07,0.0
Barley,Peat,10.03,50.39,33.16,240.58,0.0
Rice,Sandy,18.19,63.26,55.09,199.5,0.0
Cotton,Loamy,40.05,50.0,7.05,270.51,0.0
Wheat,Sandy,32.25,52.6,32.18,147.76,0.0
Tomato,Sandy,18.44,16.16,84.63,89.94,0.0
Maize,Silt,39.22,18.76,24.43,27.09,7.91
Tomato,Peat,34.92,12.73,10.76,159.9,0.0
Tomato,Silt,31.84,79.18,51.8,75.2,0.0
Barley,Silt,41.9,88.24,74.94,96.43,0.0
Wheat,Sandy,27.85,53.59,23.74,252.46,0.0
Rice,Sandy,17.51,42.75,55.34,113.29,0.0
Sugarcane,Loamy,34.12,25.26,77.54,196.25,0.0
Wheat,Loamy,44.19,42.33,25.73,160.5,0.0
Maize,Loamy,29.48,83.86,37.75,35.93,0.0
Barley,Loamy,21.59,75.81,65.22,115.84,0.0
Sugarcane,Peat,14.43,29.4,50.32,182.04,0.0
Wheat,Silt,34.99,12.13,12.29,188.03,0.0
Soybean,Loamy,41.71,36.51,64.53,191.46,0.0
Soybean,Loamy,18.07,72.19,14.12,194.42,0.0
Tomato,Peat,32.84,47.42,68.89,252.53,0.0
Cotton,Sandy,27.99,37.35,16.71,201.98,0.0
Tomato,Silt,43.45,82.8,20.82,190.22,0.0
Wheat,Silt,30.01,69.14,22.84,94.93,0.0
Barley,Silt,16.66,52.94,69.0,131.53,0.0
Rice,Peat,13.62,83.75,60.15,61.16,0.0
Cotton,Peat,12.92,51.11,87.28,119.8,0.0
Wheat,Loamy,38.9,16.93,14.1,146.1,0.0
Maize,Sandy,44.63,59.21,37.1,61.02,0.0
Cotton,Silt,22.96,62.14,34.03,239.7,0.0
Wheat,Loamy,36.38,37.85,24.24,277.1,0.0
Barley,Peat,33.29,41.96,0.66,84.9,0.0
Cotton,Sandy,30.86,37.82,28.5,144.87,0.0
Barley,Sandy,22.0,63.4,74.55,202.5,0.0
Cotton,Loamy,30.48,46.7,52.59,85.37,0.0
Wheat,Clay,17.95,44.42,27.51,170.79,0.0
Wheat,Peat,44.43,79.38,17.47,65.07,0.0
Rice,Sandy,14.45,70.75,37.81,295.21,0.0
Soybean,Loamy,18.42,42.27,85.96,145.56,0.0
Sugarcane,Silt,37.09,66.38,49.62,129.52,0.0
Maize,Loamy,10.09,21.72,61.15,288.89,0.0
Barley,Clay,40.53,79.84,42.14,199.53,0.0
Wheat,Loamy,44.82,66.51,22.02,183.09,0.0
Sugarcane,Sandy,18.78,51.44,41.73,189.53,0.0
Rice,Silt,34.76,75.58,84.55,125.53,0.0
Wheat,Peat,38.45,35.61,63.99,130.13,0.0
Wheat,Silt,13.84,21.27,8.49,70.07,0.0
Cotton,Sandy,10.99,89.02,54.04,131.18,0.0
Tomato,Sandy,40.06,34.91,3.33,35.16,5.43
Wheat,Sandy,16.72,30.57,82.19,295.73,0.0
Wheat,Peat,38.16,38.09,10.25,119.51,0.0
Barley,Loamy,33.7,23.38,44.09,239.59,0.0
Tomato,Sandy,42.95,59.61,47.49,215.87,0.0
Tomato,Clay,19.55,35.66,68.43,178.27,0.0
Tomato,Loamy,16.44,67.25,95.81,294.05,0.0
Maize,Loamy,14.9,46.19,76.19,265.99,0.0
Cotton,Clay,35.38,20.75,22.26,190.44,0.0
Sugarcane,Loamy,27.88,28.0,49.76,172.29,0.0
Sugarcane,Clay,19.92,80.1,32.24,74.24,0.0
Maize,Loamy,30.28,77.32,65.68,86.16,0.0
Barley,Peat,10.25,76.17,63.43,69.96,0.0
Cotton,Loamy,25.26,79.05,68.65,178.98,0.0
Wheat,Silt,19.99,22.58,51.71,298.91,0.0
Maize,Peat,35.72,42.52,96.76,109.86,0.0
Soybean,Loamy,11.63,17.13,86.16,13.32,1.79
Maize,Loamy,18.63,39.78,36.81,8.07,2.93
Sugarcane,Loamy,25.07,60.11,80.52,209.89,0.0
Rice,Loamy,16.13,60.29,74.98,42.88,0.0
Soybean,Sandy,41.86,23.91,12.63,100.51,0.54
Wheat,Silt,11.81,83.45,44.47,84.2,0.0
Sugarcane,Silt,19.37,40.24,78.08,275.74,0.0
Maize,Sandy,36.99,46.5,56.3,187.68,0.0
Tomato,Sandy,30.14,50.56,27.89,54.65,0.0
Tomato,Silt,32.84,39.3,19.96,7.59,6.18
Cotton,Loamy,21.8,46.12,57.2,246.91,0.0
Sugarcane,Clay,16.88,65.34,4.07,118.28,0.0
Wheat,Clay,17.02,59.5,22.13,8.72,1.57
Wheat,Clay,29.6,56.4,91.79,282.82,0.0
Wheat,Clay,29.27,69.51,80.71,110.98,0.0
Rice,Loamy,16.71,63.98,37.05,273.08,0.0
Tomato,Clay,44.48,61.61,57.17,114.87,0.0
Soybean,Loamy,11.4,82.8,48.77,224.2,0.0
Wheat,Peat,10.33,65.55,38.4,46.8,0.0
Barley,Peat,39.95,53.93,73.19,24.26,3.34
Barley,Peat,23.76,76.97,35.15,194.82,0.0
Wheat,Peat,30.32,64.06,67.3,19.0,1.91
Maize,Silt,30.46,83.19,24.4,38.8,0.0
Barley,Peat,13.54,74.15,53.21,275.07,0.0
Tomato,Clay,29.43,51.89,21.74,203.27,0.0
Soybean,Loamy,36.66,58.67,28.95,31.4,1.81
Soybean,Peat,12.65,49.74,62.28,137.72,0.0
Rice,Peat,39.9,66.54,53.57,221.78,0.0
Maize,Clay,34.55,57.45,73.51,130.07,0.0
Wheat,Silt,43.84,81.9,41.45,187.79,0.0
Tomato,Loamy,10.62,54.92,27.86,263.21,0.0
Soybean,Clay,17.87,19.67,30.79,266.12,0.0
Rice,Silt,25.18,44.01,35.77,128.64,0.0
Rice,Loamy,28.56,23.6,42.69,123.49,0.0
Sugarcane,Peat,14.27,46.26,78.19,289.07,0.0
Soybean,Clay,44.97,53.52,25.69,281.51,0.0
Tomato,Clay,16.8,53.14,81.85,243.0,0.0
Wheat,Silt,23.72,29.6,82.44,265.84,0.0
Barley,Peat,10.56,69.46,54.72,285.72,0.0
Rice,Sandy,12.11,44.92,49.16,289.71,0.0
Soybean,Loamy,29.58,84.55,49.63,215.27,0.0
Cotton,Silt,11.44,32.05,32.72,74.19,0.0
Tomato,Loamy,35.78,72.54,72.49,38.77,0.0
Barley,Clay,20.91,77.71,5.38,215.13,0.0
Sugarcane,Clay,36.15,82.87,4.32,10.09,1.32
Maize,Silt,26.36,26.18,25.41,271.96,0.0
Soybean,Clay,44.89,40.07,16.7,149.86,0.0
Rice,Clay,26.78,22.79,57.27,37.73,3.74
Wheat,Loamy,11.71,84.78,80.44,139.42,0.0
Maize,Silt,11.87,18.99,43.07,185.46,0.0
Rice,Peat,22.41,56.73,84.22,173.47,0.0
Wheat,Loamy,13.19,12.34,3.81,128.7,0.0
Tomato,Silt,43.11,48.77,75.9,248.67,0.0
Soybean,Loamy,38.37,54.17,37.91,26.13,3.09
Maize,Loamy,17.77,15.52,80.64,248.51,0.0
Tomato,Clay,21.77,25.16,18.37,54.04,0.03
Sugarcane,Peat,25.82,31.41,54.48,186.89,0.0
Rice,Silt,43.22,10.36,93.98,248.33,0.0
Barley,Sandy,28.58,20.83,73.24,6.66,6.19
Tomato,Clay,44.27,35.75,82.47,90.27,0.48
Sugarcane,Loamy,30.87,61.08,40.08,49.39,0.0
Sugarcane,Loamy,32.43,77.34,13.39,241.49,0.0
Cotton,Sandy,28.58,44.57,41.41,292.11,0.0
Cotton,Loamy,21.13,26.94,3.23,256.36,0.0
Sugarcane,Silt,42.06,22.21,36.91,28.32,10.09
Soybean,Clay,18.43,13.59,97.23,36.13,1.61
Tomato,Clay,15.69,64.43,10.84,37.66,0.0
Sugarcane,Sandy,13.1,26.96,50.16,154.92,0.0
Sugarcane,Silt,24.19,38.36,88.65,150.52,0.0
Barley,Clay,24.39,32.02,84.28,177.94,0.0
Wheat,Peat,29.65,45.13,58.09,188.59,0.0
Sugarcane,Loamy,14.08,16.16,37.43,148.38,0.0
Tomato,Silt,21.94,24.79,43.02,216.04,0.0
Tomato,Clay,10.63,47.22,42.58,181.53,0.0
Barley,Sandy,43.93,29.88,31.21,45.27,5.17
Barley,Loamy,19.72,58.73,2.89,58.82,0.0
Tomato,Loamy,33.79,44.11,80.43,57.44,0.58
Barley,Peat,28.64,15.5,81.0,127.37,0.0
Wheat,Silt,23.42,34.94,10.08,28.65,2.44
Sugarcane,Sandy,41.38,88.9,87.73,51.5,0.0
Soybean,Peat,35.86,84.59,54.59,11.97,0.61
Maize,Clay,38.87,24.62,5.18,250.27,0.0
Barley,Peat,43.71,15.32,21.69,218.0,0.0
Maize,Loamy,35.87,11.63,36.94,210.72,0.0
Barley,Clay,43.61,60.9,61.6,95.66,0.0
Tomato,Silt,32.89,19.6,39.43,20.32,7.12
Sugarcane,Loamy,18.12,53.45,49.37,259.23,0.0
Wheat,Loamy,44.03,30.22,28.5,263.07,0.0
Tomato,Clay,12.26,88.69,34.33,240.82,0.0
Cotton,Peat,13.23,22.12,64.05,89.27,0.0
Tomato,Loamy,20.77,20.55,1.6,299.26,0.0
Tomato,Clay,19.84,18.11,94.85,120.7,0.0
Soybean,Clay,26.48,80.45,65.13,4.13,1.25
Rice,Peat,17.19,28.75,5.75,108.92,0.0
Cotton,Silt,25.97,32.05,46.44,257.28,0.0
Cotton,Peat,39.02,64.76,39.56,75.61,0.0
Barley,Silt,23.29,42.89,77.35,294.57,0.0
Cotton,Silt,23.8,21.9,43.42,281.92,0.0
Barley,Clay,34.78,46.67,87.37,175.67,0.0
Wheat,Clay,23.97,39.16,16.86,267.93,0.0
Maize,Loamy,18.87,63.61,88.81,74.09,0.0
Rice,Loamy,28.29,39.06,99.21,290.91,0.0
Soybean,Sandy,44.55,67.52,41.29,188.02,0.0
Soybean,Peat,40.53,12.09,21.16,56.27,5.94
Sugarcane,Sandy,22.41,58.33,95.19,233.08,0.0
Sugarcane,Loamy,21.33,41.91,37.17,139.07,0.0
Sugarcane,Peat,17.08,68.9,32.94,177.04,0.0
Sugarcane,Loamy,27.73,80.4,62.93,16.63,0.19
Maize,Sandy,25.97,86.12,72.56,97.55,0.0
Rice,Silt,11.69,36.68,45.63,298.26,0.0
Rice,Clay,22.83,59.94,78.92,110.39,0.0
Barley,Clay,22.66,87.05,17.07,283.62,0.0
Sugarcane,Peat,33.38,12.77,46.11,13.82,10.4
Tomato,Loamy,38.08,81.44,7.07,266.2,0.0
Sugarcane,Clay,30.76,21.5,55.15,30.57,6.24
Sugarcane,Sandy,13.39,18.3,14.65,212.46,0.0
Sugarcane,Peat,32.77,16.25,37.9,12.26,9.9
Barley,Loamy,14.55,80.46,97.6,150.98,0.0
Maize,Clay,30.98,39.4,71.18,186.3,0.0
Soybean,Clay,39.49,30.2,28.25,126.55,0.0
Barley,Peat,16.14,40.51,47.74,296.25,0.0
Cotton,Peat,17.18,86.33,51.71,140.47,0.0
Maize,Silt,39.43,89.45,44.9,281.58,0.0
Wheat,Clay,25.09,26.16,93.21,252.9,0.0
Rice,Loamy,43.09,35.2,3.88,279.32,0.0
Wheat,Silt,12.13,67.84,4.62,257.05,0.0
Wheat,Silt,37.59,83.88,37.02,80.27,0.0
Wheat,Loamy,18.06,24.11,6.94,273.21,0.0
Tomato,Sandy,29.77,28.18,3.88,264.01,0.0
Barley,Peat,12.26,87.81,42.01,1.22,0.34
Tomato,Clay,14.45,43.41,3.69,106.05,0.0
Cotton,Peat,41.65,21.91,92.25,6.57,8.66
Sugarcane,Clay,18.24,32.84,40.84,204.56,0.0
Tomato,Sandy,28.45,19.14,40.79,16.26,6.34
Cotton,Clay,32.31,77.99,11.21,248.0,0.0
Cotton,Loamy,21.15,71.92,75.44,145.42,0.0
Soybean,Loamy,39.35,58.14,85.85,82.43,0.0
Barley,Clay,21.26,26.83,43.78,120.13,0.0
Cotton,Sandy,24.95,17.82,69.54,52.22,1.37
Soybean,Clay,11.66,59.16,6.36,30.79,0.0
Maize,Sandy,16.4,73.81,24.65,230.47,0.0
Soybean,Sandy,24.75,55.72,13.62,236.71,0.0
Tomato,Peat,12.67,42.89,62.86,52.88,0.0
Rice,Clay,44.39,76.07,21.64,21.29,1.69
Tomato,Sandy,42.83,27.25,84.1,283.15,0.0
Rice,Sandy,15.09,12.71,37.9,43.08,0.1
Cotton,Loamy,31.69,13.51,76.67,139.38,0.0
Barley,Loamy,37.7,55.06,36.97,229.25,0.0
Soybean,Clay,21.99,83.62,70.07,168.83,0.0
Barley,Loamy,20.83,25.87,80.31,262.21,0.0
Rice,Sandy,29.66,66.41,58.73,112.24,0.0
Tomato,Clay,38.11,54.19,46.61,185.95,0.0
Tomato,Loamy,24.77,33.45,12.68,89.21,0.0
Soybean,Loamy,20.85,46.79,70.77,137.32,0.0
Maize,Loamy,17.39,59.7,52.31,171.83,0.0
Barley,Peat,24.12,15.91,85.48,82.61,0.0
Sugarcane,Clay,16.39,45.53,47.93,53.54,0.0
Rice,Peat,38.32,85.15,99.55,148.49,0.0
Wheat,Sandy,24.84,27.8,28.62,31.95,3.06
Maize,Loamy,21.25,78.79,72.11,252.93,0.0
Barley,Silt,24.33,74.22,28.16,176.86,0.0
Soybean,Loamy,21.18,26.09,22.35,121.97,0.0
Rice,Sandy,16.32,53.65,66.71,24.47,0.09
Wheat,Clay,28.99,38.45,41.31,149.65,0.0
Maize,Peat,41.5,71.75,87.64,10.7,2.84
Tomato,Peat,40.25,22.74,73.78,51.53,5.47
Rice,Clay,39.07,67.72,39.19,278.09,0.0
Soybean,Peat,42.4,38.65,21.71,188.19,0.0
Tomato,Loamy,44.62,43.01,7.4,4.25,8.45
Sugarcane,Clay,18.49,69.26,98.86,13.05,0.74
Maize,Peat,35.36,71.37,79.19,293.05,0.0
Soybean,Sandy,25.38,79.31,84.16,192.2,0.0
Rice,Peat,11.26,20.71,54.64,96.89,0.0
Wheat,Peat,24.89,15.43,40.28,48.92,2.34
Soybean,Peat,39.66,14.58,38.87,80.67,3.06
Cotton,Silt,43.6,32.88,30.91,277.26,0.0
Soybean,Sandy,10.6,43.55,72.92,54.96,0.0
Tomato,Sandy,33.65,82.42,24.81,208.34,0.0
Tomato,Silt,13.33,33.58,20.27,54.73,0.0
Sugarcane,Sandy,22.98,82.41,96.88,81.32,0.0
Wheat,Sandy,22.72,20.14,77.73,146.56,0.0
Wheat,Sandy,37.19,38.93,69.44,282.6,0.0
Soybean,Loamy,32.96,13.82,33.0,239.3,0.0
Soybean,Silt,15.36,41.6,95.32,29.13,0.07
Sugarcane,Peat,34.83,40.68,66.04,194.26,0.0
Maize,Silt,40.41,84.71,91.14,70.44,0.0
Rice,Sandy,24.17,50.94,43.28,114.79,0.0
Sugarcane,Loamy,34.32,59.76,74.29,160.57,0.0
Maize,Silt,29.07,22.55,47.7,150.41,0.0
Wheat,Peat,15.21,33.24,37.7,280.43,0.0
Cotton,Loamy,33.2,73.14,88.78,197.08,0.0
Tomato,Clay,32.66,15.67,34.58,260.39,0.0
Maize,Loamy,33.89,87.7,64.02,9.53,0.44
Barley,Clay,16.7,66.43,94.05,271.43,0.0
Soybean,Sandy,15.17,28.72,32.56,279.19,0.0
Tomato,Peat,22.13,77.62,33.79,63.26,0.0
Barley,Silt,22.07,65.11,78.31,175.42,0.0
Tomato,Peat,12.7,37.72,56.92,88.79,0.0
Cotton,Silt,19.32,11.29,60.11,157.19,0.0
Tomato,Silt,44.58,19.52,47.43,294.9,0.0
Wheat,Clay,35.44,23.97,12.51,154.54,0.0
Sugarcane,Silt,37.87,85.56,90.48,263.85,0.0
Cotton,Peat,21.02,11.16,38.47,129.76,0.0
Tomato,Sandy,26.77,21.74,48.05,200.89,0.0
Tomato,Sandy,35.68,58.25,29.36,166.73,0.0
Maize,Sandy,10.8,83.79,1.6,13.6,0.0
Maize,Peat,34.08,56.5,69.42,32.25,1.72
Soybean,Loamy,35.74,48.71,99.21,9.83,4.87
Cotton,Silt,28.81,45.97,1.41,219.57,0.0
Rice,Sandy,24.89,36.07,89.42,173.22,0.0
Barley,Sandy,32.14,14.8,76.08,162.38,0.0
Tomato,Silt,34.1,20.06,24.47,79.92,1.15
Soybean,Loamy,37.58,58.62,19.17,178.34,0.0
Wheat,Silt,24.03,74.36,86.8,13.67,0.76
Tomato,Clay,23.07,26.79,35.82,243.01,0.0
Soybean,Loamy,27.43,37.14,77.57,27.44,2.85
Maize,Clay,35.25,77.1,46.4,81.3,0.0
Soybean,Silt,26.98,20.3,87.24,114.58,0.0
Barley,Silt,34.85,61.01,23.59,246.43,0.0
Tomato,Peat,21.81,85.78,44.89,222.45,0.0
Sugarcane,Clay,34.85,86.73,94.59,147.57,0.0
Sugarcane,Loamy,44.65,41.7,21.09,223.49,0.0
Maize,Silt,43.72,35.46,62.37,125.1,0.0
Maize,Silt,27.01,48.49,53.39,55.26,0.0
Rice,Clay,26.32,27.54,97.97,261.19,0.0
Rice,Loamy,16.8,88.85,95.45,207.77,0.0
Barley,Silt,21.69,65.48,99.5,189.59,0.0
Cotton,Clay,26.7,40.71,5.53,92.3,0.0
Sugarcane,Silt,41.41,63.15,15.41,261.7,0.0
Barley,Sandy,36.45,86.62,27.69,235.3,0.0
Tomato,Peat,29.76,46.94,98.65,199.61,0.0
Cotton,Peat,37.79,60.4,16.65,228.75,0.0
Cotton,Loamy,33.11,23.74,57.65,184.11,0.0
Barley,Peat,18.06,75.69,36.9,64.88,0.0
Maize,Peat,15.34,69.51,18.05,216.45,0.0
Maize,Sandy,35.86,13.53,56.81,163.52,0.0
Cotton,Sandy,19.03,13.72,86.52,260.06,0.0
Cotton,Loamy,12.01,21.04,59.66,173.22,0.0
Sugarcane,Silt,35.2,37.25,9.69,295.43,0.0
Cotton,Sandy,39.01,70.46,92.93,151.28,0.0
Barley,Silt,44.96,64.84,48.87,195.73,0.0
Maize,Clay,17.33,73.17,19.93,274.1,0.0
Maize,Silt,16.6,63.39,30.9,221.63,0.0
Soybean,Peat,44.7,82.66,32.43,146.69,0.0
Maize,Loamy,18.9,88.25,50.14,28.19,0.0
Soybean,Silt,39.38,71.15,77.13,291.09,0.0
Maize,Clay,16.25,32.35,32.68,198.55,0.0
Maize,Silt,10.94,24.53,64.21,231.35,0.0
Maize,Sandy,42.44,69.33,3.81,15.97,2.74
Rice,Peat,37.9,54.53,53.48,88.96,0.0
Tomato,Sandy,14.07,29.67,56.29,269.45,0.0
Barley,Clay,20.25,16.46,29.88,212.5,0.0
Soybean,Silt,43.47,29.95,94.0,147.59,0.0
Barley,Peat,36.63,33.76,65.43,288.26,0.0
Tomato,Loamy,38.13,59.69,72.66,194.62,0.0
Barley,Peat,41.7,67.52,11.64,75.36,0.0
Barley,Clay,25.87,45.8,64.43,222.7,0.0
Sugarcane,Silt,42.83,45.41,7.22,149.86,0.0
Barley,Loamy,41.15,58.33,86.69,58.19,0.0
Cotton,Clay,15.97,66.46,55.23,215.81,0.0
Soybean,Silt,36.34,43.24,62.97,33.35,3.36
Maize,Sandy,31.6,21.6,70.28,259.04,0.0
Wheat,Sandy,29.95,17.82,70.43,185.13,0.0
Wheat,Clay,43.02,14.55,5.81,291.8,0.0
Wheat,Silt,28.52,74.54,81.34,17.24,0.77
Wheat,Sandy,32.3,26.7,95.26,37.61,4.54
Sugarcane,Sandy,33.35,15.91,66.09,165.83,0.0
Soybean,Loamy,27.99,28.6,3.15,69.16,0.0
Maize,Clay,12.71,44.63,0.13,28.65,0.0
Maize,Loamy,13.81,29.89,9.1,60.78,0.0
Maize,Sandy,16.73,37.92,14.48,226.79,0.0
Soybean,Silt,17.55,27.94,36.83,48.07,0.0
Maize,Loamy,38.49,69.36,77.93,13.97,2.53
Cotton,Silt,18.52,24.45,59.49,235.32,0.0
Barley,Loamy,11.24,24.94,14.85,187.84,0.0
Maize,Clay,22.34,39.35,94.19,287.39,0.0
Cotton,Sandy,22.32,15.81,60.84,245.02,0.0
Soybean,Silt,23.46,39.72,28.51,58.11,0.0
Tomato,Clay,11.9,55.41,66.37,94.16,0.0
Sugarcane,Peat,33.09,28.9,27.92,171.14,0.0
Maize,Loamy,41.72,17.05,10.2,95.59,1.98
Rice,Sandy,10.47,27.34,12.45,93.33,0.0
Barley,Silt,14.93,55.54,40.4,23.44,0.0
Maize,Silt,29.73,56.03,52.04,109.58,0.0
Cotton,Silt,33.72,74.39,31.05,39.91,0.0
Soybean,Peat,35.65,19.98,72.4,75.35,1.88
Cotton,Sandy,27.71,33.32,63.32,96.53,0.0
Wheat,Loamy,22.25,45.48,77.85,107.79,0.0
Rice,Sandy,22.3,87.5,43.09,10.46,0.0
Tomato,Sandy,38.71,32.27,11.35,163.94,0.0
Soybean,Clay,32.55,84.87,24.53,41.85,0.0
Tomato,Clay,19.71,53.5,95.07,166.04,0.0
Barley,Clay,24.84,40.69,84.54,217.67,0.0
Rice,Clay,42.67,83.76,25.31,249.44,0.0
Maize,Clay,22.89,45.88,57.35,177.15,0.0
Maize,Clay,32.16,72.37,99.31,130.86,0.0
Wheat,Loamy,37.15,51.8,52.08,81.39,0.0
Sugarcane,Loamy,10.24,81.16,6.74,173.68,0.0
Tomato,Peat,27.74,85.19,31.8,227.86,0.0
Sugarcane,Silt,15.89,52.59,99.3,219.42,0.0
Soybean,Silt,42.38,49.41,69.88,75.66,0.0
Barley,Loamy,16.88,69.49,25.79,114.91,0.0
Cotton,Clay,12.95,43.99,8.47,58.66,0.0
Barley,Silt,30.63,50.21,80.43,232.44,0.0
Maize,Peat,26.99,23.57,61.32,261.08,0.0
Cotton,Peat,39.03,50.0,68.94,45.29,1.68
Rice,Peat,44.99,44.38,25.97,89.23,0.0
Tomato,Loamy,30.54,50.12,24.64,212.05,0.0
Wheat,Loamy,16.17,24.67,61.63,191.37,0.0
Sugarcane,Silt,41.49,31.87,4.93,112.07,0.0
Cotton,Loamy,15.23,25.52,58.72,160.79,0.0
Soybean,Loamy,30.01,22.19,71.62,196.1,0.0
Rice,Silt,30.73,86.53,82.35,133.73,0.0
Rice,Peat,21.05,65.43,77.36,90.53,0.0
Cotton,Peat,43.86,82.42,19.46,77.14,0.0
Wheat,Silt,15.18,51.8,2.5,146.16,0.0
Tomato,Loamy,24.04,48.95,56.54,15.08,2.71
Wheat,Silt,14.21,16.72,59.44,217.7,0.0
Rice,Sandy,28.28,75.26,24.81,291.34,0.0
Rice,Silt,26.03,12.44,19.33,50.66,3.04
Tomato,Peat,18.75,60.55,2.1,90.48,0.0
Cotton,Sandy,39.69,87.44,44.42,11.31,0.45
Maize,Sandy,27.56,63.43,0.35,192.72,0.0
Cotton,Sandy,15.77,27.01,19.41,39.58,0.0
Tomato,Peat,12.91,26.59,9.53,69.42,0.0
Rice,Sandy,18.65,60.68,32.78,271.19,0.0
Soybean,Peat,12.34,83.85,88.25,139.13,0.0
Barley,Loamy,11.74,17.36,36.69,212.93,0.0
Wheat,Clay,21.22,38.96,77.67,48.48,0.0
Sugarcane,Loamy,38.28,71.6,42.71,208.46,0.0
Maize,Loamy,21.83,34.01,9.17,294.81,0.0
Soybean,Peat,22.45,60.36,78.39,272.5,0.0
Wheat,Loamy,13.96,79.71,55.08,57.12,0.0
Wheat,Clay,32.1,14.57,31.93,248.13,0.0
Barley,Peat,42.48,72.6,44.75,232.18,0.0
Sugarcane,Loamy,24.31,67.24,94.53,54.62,0.0
Tomato,Loamy,24.63,77.51,96.42,187.42,0.0
Barley,Clay,44.82,76.16,23.76,32.06,0.32
Wheat,Clay,39.74,76.9,77.33,206.84,0.0
Cotton,Clay,16.68,89.89,32.4,138.89,0.0
Soybean,Loamy,11.61,17.0,27.89,299.62,0.0
Cotton,Silt,43.57,27.17,35.55,34.12,6.09
Rice,Silt,22.97,71.04,43.17,164.73,0.0
Maize,Silt,15.62,62.15,75.86,79.16,0.0
Maize,Silt,39.69,29.62,77.64,156.55,0.0
Barley,Loamy,34.02,86.4,40.8,0.27,1.36
Sugarcane,Peat,31.75,40.85,29.25,200.53,0.0
Rice,Clay,26.68,36.79,52.52,231.48,0.0
Cotton,Peat,37.61,75.98,62.42,246.56,0.0
Soybean,Silt,18.49,25.39,77.72,194.91,0.0
Tomato,Clay,25.12,60.78,67.92,209.87,0.0
Maize,Silt,15.61,50.18,76.95,268.73,0.0
Tomato,Sandy,29.36,24.76,70.45,36.93,3.85
Maize,Clay,38.63,27.07,46.98,162.11,0.0
Rice,Loamy,38.88,86.61,81.64,148.85,0.0
Cotton,Loamy,13.0,81.86,75.01,155.52,0.0
Cotton,Clay,34.68,84.94,39.75,209.69,0.0
Cotton,Clay,34.16,62.02,91.12,121.89,0.0
Cotton,Peat,10.38,80.07,84.06,186.27,0.0
Sugarcane,Loamy,12.28,27.67,26.79,83.0,0.0
Sugarcane,Clay,44.76,65.19,70.79,39.42,1.56
Tomato,Silt,10.04,58.15,23.05,286.11,0.0
Cotton,Peat,37.09,27.12,48.09,36.61,4.55
Soybean,Sandy,34.75,23.31,2.82,70.95,1.7
Maize,Sandy,40.45,74.09,54.47,76.27,0.0
Barley,Peat,43.32,14.21,70.04,102.57,1.92
Cotton,Clay,41.51,35.84,48.93,79.87,0.76
Rice,Silt,15.88,85.76,5.51,135.33,0.0
Sugarcane,Loamy,19.85,19.84,85.41,39.42,1.7
Barley,Loamy,32.7,55.88,77.72,258.6,0.0
Soybean,Peat,20.15,81.3,92.58,73.15,0.0
Maize,Sandy,26.63,84.94,12.32,173.02,0.0
Tomato,Clay,10.89,63.18,62.4,134.57,0.0
Rice,Sandy,17.84,30.77,70.55,170.99,0.0
Sugarcane,Silt,23.99,71.69,52.56,163.51,0.0
